Name;Description;Requirements;Cooldown;Slots;Range;Sets;Stat;School Image;School;Ap;Sp;Image
Farsight;Increase the range of a targeted character's ranged attacks and skills by 4m.;Requires Huntsman 3;3;2 Memory;Range 13m;Set Farsight for 3 Turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hunstman-skills-s.png;Huntsman Skills;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/huntsman-15-24.png
Armour of Frost;Ice forms a defensive barrier around the target, providing [100% of total heal value] Magical Armour . Cures Burning, Poisoned, Stunned, Frozen, Suffocating and Petrified.;Requires Hydrosophist 1;4;1 Memory;Range 13m;Set Magic Shell for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist_armour_of_frost.png
Hail Storm;20 ice shards fall from the sky, each dealing 20% Water Damage to characters within 13m range from impact.;Requires Hydrosophist 5;4;3 Memory;"Range 13m
3m Explode Radius";Set Chilled for 1 turn(s).;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;4;3;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist_hail_strike-icon.png
Healing Ritual;Shoot a bolt of healing energy that will jump to nearby allies.;Requires Hydrosophist 2;5;1 Memory;Range 13m;;Restore [80% of total heal value] Vitality;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist_healing_ritual-icon.png
Rain;Create a spreading water surface which douses fires. Set Wet status on characters in the area.;Requires Hydrosophist 1;6;1 Memory;Range 8m;Set Wet for 1 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist_rain-icon.png
Restoration;Restore Vitality of a target character. Restoration also cures Poisoned and Bleeding.;Requires Hydrosophist 1;4;1 Memory;Range 13m;;Restore [75% of total heal value] Vitality for 2 turn(s).;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist_restoration-icon.png
Winter Blast;Deal 110% Water Damage and set Chilled status on characters in the area. Freeze blood and water surfaces.;Requires Hydrosophist 2;3;1 Memory;Range 13m;Set Chilled for 2 turn(s).;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist_winter_blast-icon.png
Steam Lance;Releases a stream of Blessed Steam that heals characters in its path.;Requires Hydrosophist 3;3;2 Memory;Range 13m;;Restore [75% of total heal value] Vitality for 3 Turn(s);https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;2;2;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist_steam_lance-icon.png
Global Cooling;Set Chilled on enemies around you and deal 50% Water Damage. Freeze all succeptible surfaces.;Requires Hydrosophist 2;3;1 Memory;Range 13m;Set Chilled for 3 turn(s).;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist_global_cooling-icon.png
Soothing Cold;Regenerate Magical Armour  for all allies around caster.;Requires Hydrosophist 2;3;1 Memory;Range 3m;;Restore [26.5% of total heal value] Magic Armour for 3 turn(s).;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist_soothing_cold-icon.png
Ice Fan;Target 3 positions and shoot an ice shard at each one, dealing 45% Water Damage and making targets Chilled.;Requires Hydrosophist 2;4;1 Memory;Range 13m;Set Chilled for 1 turn(s).;Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist_ice_fan-icon.png
Deep Freeze;Targets in the cone that are frozen and under 10% Vitality shatter and instantly die. Otherwise they receive 150% Water Damage and become Frozen.;Requires Hydrosophist 3;6;1 Memory;Range 8m;Set Frozen for 1 Turn(s);Damage is based on your level and receives a bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;4;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist_deep_freeze-icon.png
Cryogenic Stasis;Target ally enters Cryogenic Stasis. Though incapacitated, they become immune to all damage, and heal over time. Removes Shackles Of Pain.;Requires Hydrosophist 2;4;1 Memory;Range 13m;Set Permafrost for 1 Turn(s);Restore [150% of total heal value] Vitality when Permafrost wears off;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist_cryogenic_statis-icon.png
Hail Strike;Icicles fall from the sky, chilling enemies and dealing 40% water damage. They create Ice surfaces where they hit the ground.;Requires Hydrosophist 1;3;1 Memory;"Range 13m
1m Explode Radius";Set Chilled for 2 turn(s).;Damages is based on your level and receives bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist_hail_strike-icon.png
Arcane Stitch;Fully restore target character's Magic Armour. Removes Frozen, Stunned, Petrified, Plague, Suffocating, Poisoned, Burning, Necrofire, Terrified, Silenced, Taunted, Mad.;Requires Hydrosophist 3;4;2 Memory;Range 13m;;Restore 100% Magic Armour;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;3;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-14-16.png
Mass Cryotherapy;Each ally consumes Frozen surfaces around them, converting the frozen surfaces to Magic Armour. Removes Burning and Necrofire.;"Requires Hydrosophist 2
Requires Huntsman 2";5;2 Memory;"Range 13m
Radius 2m";;Restore up to [400% of total heal value] Magic Armour depending on relevant surface area.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;2;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-16-17.png
Cryotherapy;Consume Frozen surfaces around you and convert them to Magic Armour. Removes Burning and Necrofire.;"Requires Hydrosophist 1
Requires Huntsman 1";3;1 Memory;Range 2m;;Restore up to [400% of total heal value] Magic Armour depending on relevant surface area.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-16-18.png
Vampiric Hunger;Set Vampiric Hunger on target character, adding 50% Life Steal for 2 turns. Life Steal heals you in proportion to the damage you deal to Vitality.;"Requires Hydrosophist 1
Requires Scoundrel 1";5;1 Memory;Range 2m;Set Vampiric Hunger for 2 Turn(s);;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-16-19.png
Vampiric Hunger Aura;Set Vampiric Hunger Aura on every ally around you, adding 50% Life Steal for 2 turns. Life Steal heals you in proportion to the damage you deal to Vitality.;"Requires Hydrosophist 2
Requires Scoundrel 2";5;2 Memory;Range 13m;Set Vampiric Hunger Aura for 2 Turn(s);;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-16-20.png
Healing Tears;Three healing tears circle around you. Everytime an ally walks into melee range near you, a healing tear bathes them.;"Requires Hydrosophist 1
Requires Polymorph 1";5;1 Memory;Range 3m;Set Healing Tears for 3 Turn(s);;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-16-22.png
Mass Cleanse Wounds;Heal yourself and allies around you. Create a water puddle beneath every target. Remove Necrofire, Burning, Diseased, Decaying, Poisoned, Bleeding, Suffocation and Acid.;"Requires Hydrosophist 2
Requires Warfare 2";5;2 Memory;"Range 8m
1m radius water surface";;Restore [150% of total heal value] Vitality;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-16-23.png
Cleanse Wounds;Heal target and create a water puddle beneath them. Remove Burning, Diseased, Decaying, Poisoned and Bleeding.;"Requires Hydrosophist 1
Requires Warfare 1";5;1 Memory;"Range 2m
1m radius water surface";;Restore [150% of total heal value] Vitality;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-16-24.png
Ice Breaker;Sets off a chain reaction that causes ice areas to explode into water puddles, dealing 450% Water Damage and setting Chilled.;Requires Hydrosophist 3;3;1 Memory;Range 13m;Set Chilled for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-skills-s.png;Hydrosophist;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-16-25.png
Blood Sucker;Target character consumes blood surfaces around them, restoring Vitality. The more blood, the more they are healed!;Requires Necromancer 1;3;1 Memory;"Range 13m
Radius 2m";;Restore up to [200% of total heal value] Vitality, depending on relevant surface area.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer_blood_sucker-icon.png
Decaying Touch;Deal 100% physical damage to target character. Sets Decay, so the target will take physical damage from healing spells and potions.;Requires Necromancer 1;3;1 Memory;Range 2m;Set Decaying for 2 turn(s).;Damage is based on your level and receives bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer_decaying_touch-icon.png
Mosquito Swarm;"Unleash a swarm of giant mosquitos to suck the blood from your enemies, dealing 100% physical damage and healing yourself.
Restore up to [100% of total heal value] Vitality, depending on the damage dealt. ";Requires Necromancer 1;3;1 Memory;Range 13m;Set Bleeding for 2 turn(s).;Damage is based on your level and receives bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer_mosquito_swarm-icon.png
Raining Blood;Create blood surfaces. Set Bleeding on enemies. Douse fire surfaces.;"Requires Necromancer 1 
Requires Hydrosophist 1";5;1 Memory;" 
Range 13m
Radius 10m
Duration 1 turn(s)";Set Bleeding for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer_rain_of_blood-icon.png
Shackles of Pain;Mark a target so that it will receive all of the damage you receive. Damage transferred in this way ignores any resistances the target may have.;Requires Necromancer 2;5;1 Memory;Range 13m;Set Shackles of Pain for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer_shackles_of_pain-icon.png
Infect;Deal 155% physical damage. Infect a target with a disease that will spread to other nearby characters. Diseased characters deal reduced damage with all attacks and have lowered Constitution.;Requires Necromancer 2;3;1 Memory;Range 13m;Set Infectious Disease for 2 turn(s).;Damage is based on your level and receives bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer_infect-icon.png
Silencing Stare;Destroy [100% of total damage value] Magic Armour and Silence all enemies in a cone in front of you.;Requires Necromancer 3;3;1 Memory;"Range 13m
30° angle";Set Silenced for 1 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer_silencing_stare-icon.png
Totems of the Necromancer;Spawn bone totems near every enemy in the area. Bone totems have ranged attacks that deal 100% physical damage.;Requires Necromancer 5;5;3 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;2;3;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer_totems_of_the_necromancer-icon.png
Last Rites;Sacrifice yourself to bring an ally back to life. Deals [X] piercing damage to you, and resurrects target character with maximum Vitality.;Requires Necromancer 3;0;1 Memory;Range 13m;Set Potion.;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer_last_rites-icon.png
Grasp Of The Starved;Undead hands rise from underground, attacking characters that stand in blood surfaces and clouds. Deals 250% physical damage to each character and sets Crippled.;Requires Necromancer 3;5;2 Memory;"Range 13m
Radius 5m";Set Crippled for 2 turn(s).;Damage is based on your level and receives bonus from Intelligence.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;2;2;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer_grasp_of_the_starved-icon.png
Bone Cage;Increases Physical Armour by [50% of total heal value] and another [50% of total heal value] Physical Armour for each corpse in the area around you.;Requires Necromancer 2;5;1 Memory;Range 13m;Set Bone Cage for 3 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer_bone_cage-icon.png
Black Shroud;Create a cloud of cursed smoke in an area, setting Suffocating and Blind on all characters within.;Requires Necromancer 3;5;2 Memory;"Range 13m
Radius 4m";;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer_black_shroud-icon.png
Death Wish;Target character receives a damage bonus equal to the percentage of their lost Vitality. For example, a character with 30% Vitality will gain a 70% damage bonus.;Requires Necromancer 2;5;1 Memory;Range 13m;Set Death Wish for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer_death_wish-icon.png
Raise Bone Widow;Raise a walking pile of bones which can consume corpses to restore Vitality and receive a stacking damage buff.;Requires Necromancer 2;5;1 Memory;"Range 13m
Duration 5 turn(s)";;The stats of the summons will depend on caster level and Summoning ability.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-14-27.png
Blood Storm;The sky weeps bloody tears. Bolts of coagulated blood fall on enemy characters in the area, setting Disease and Decaying. Does 100% physical damage. Turns all water in the area into blood.;"Requires Necromancer 3
Requires Hydrosophist 3";5;3 Memory;"Range 17m
Radius 10m
Blood clot AoE radius 1m
Duration 2 turn(s)";;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;4;3;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-15-26.png
Raise Bloated Corpse;Target a corpse to raise a bloated cadaver that fights for you. It can explode, dealing Physical Damage.;Requires Necromancer 1;3;1 Memory;"Range 13m
Vile Burst range 2m";;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-raise-bloated-corpse.png
Living on the Edge;For 2 turns your character's Vitality cannot be reduced below 1 point, keeping them alive against all odds. If the target is a summon, their lifetime will be prolonged for the duration.;Requires Necromancer 2;5;1 Memory;Range 13m;Set Death Resist for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-skills-s.png;Necromancer;3;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/necromancer-17-9.png
Tentacle Lash;Lash out at your opponent dealing 125% physical damage and setting Atrophy on them.;Requires Polymorph 1;3;1 Memory;Range 8m;Set Atrophy for 1 turn(s).;Damage is based on your level and receives bonus from Strength.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-12-18.png
Chicken Claw;Turn the target character into a chicken. Squawk!;Requires Polymorph 1;6;1 Memory;Range 2m;Set Chicken Form for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-12-14.png
Bull Horns;Magnificent horns sprout from your forehead, making you see red. You can rush at your enemies and gore them. Increases Retribution ability by 1 for the duration. Incompatible with Medusa Head.;Requires Polymorph 1;6;1 Memory;Range --;Set Bull Horns for 4 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;0;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-12-17.png
Bull Rush;Rush at your enemies, dealing 75% weapon damage and setting Bleeding.;Requires Bull Horns;1;0 Memory;Range 13m;Set Bleeding for 2 turn(s);Damage is based on your level and receives bonus from Strength.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-13-1.png
Chameleon Cloak;Grants you the ability to blend in with any environment as if invisible.;Requires Polymorph 1;6;1 Memory;Range --;Set Invisible for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-9-25.png
Heart of Steel;Your heart pumps liquid metal, creating a robust layer of Physical Armor. This regenerates each turn.;Requires Polymorph 2;5;1 Memory;Range --;;"Provides [75% heal value] Physical Armour.
Restores [35% heal value] Physical Armour for 4 turn(s).";https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-12-16.png
Spread Your Wings;Sprout temporary wings to fly when you move, allowing you to ignore ground surfaces. Incompatible with Spider Legs.;Requires Polymorph 2;6;1 Memory;Range--;Sets wings for 3 turns. Allows use of the ability Fly.;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-12-12.png
Flight;Fly to a nearby point.;Requires Spread Your Wings;1;0 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-13-2.png
Skin Graft;Reset all cooldowns. Removes Burning, Necrofire, Poisoned and Bleeding.;Requires Polymorph 3;0;2 Memory;Range --;Set Skin Graft;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-12-13.png
Summon Oily Blob;Fling an Oil Blob at a target point, dealing 70% Earth Damage in the area. Oil Blob deals earth damage with melee attacks and leaves an oil puddle on death.;Requires Polymorph 2;6;1 Memory;"Range 13m
3m Explode Radius";;"Damage is based on your level and receives bonus from Strength.
The stats of the summons will depend on caster level and Summoning ability.";https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-15-3.png
Medusa Head;Snakes grow out of your head, giving you a petrifying aura and the Petrifying Visage skill. Incompatible with Bull Horns.;Requires Polymorph 2;5;1 Memory;Range 3m;Set Medusa Head for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-15-21.png
Petrifying Visage;Deal 100% earth damage and Petrify enemies around you.;Requires Medusa Head;5;0 Memory;Range 13m;Set Petrified for 1 turn(s);Damage is based on your level and receives bonus from Strength.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-16-5.png
Spider Legs;Spider legs burst from your back. You can create web surfaces in an area to entangle foes. Incompatible with Wings.;Requires Polymorph 2;5;1  Memory;Range --;"Set Spider Legs for 3 turn(s).
Set Haste when sepping on a web";;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;0;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-16-2.png
Spin Web;Create web surface to Entangle all characters in the area.;Requires Spider Legs;2;0 Memory;Range 13m;Set Enwebbed for 1 turn.;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-16-4.png
Flay Skin;Destroy [100% of total damage value] Magic Armour  on target character. Set status that halves resistances.;Requires Polymorph 3;5;1 Memory;Range 13m;Set Nullified Resistance for 2 turn(s).;Damage is based on your level and receives bonus from Strength.;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-16-3.png
Flaming Skin;You get immunity to fire, but lowered resistance to water. You bleed fire.;"Requires Polymorph 2
Requires Pyrokinetic 2";5;2 Memory;Range --;Set Flaming Skin for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/pyrokinetic-15-15.png
Icy Skin;You get immunity to water, but lowered resistance to fire. You bleed ice.;"Requires Polymorph 2
Requires Hydrosophist 2";5;1 Memory;Range --;Set Icy Skin for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/hydrosophist-16-21.png
Jellyfish Skin;Bleed electrified water. You get immunity to electricity, but lowered resistance to poison and earth damage.;"Requires Polymorph 2
Requires Aerotheurge 2";5;2 Memory;Range --;Set Jellyfish Skin for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/aerotheurge-16-12.png
Poisonous Skin;You get immunity to poison and earth, but lowered resistance to air. You bleed poison.;"Requires Polymorph 2
Requires Geomancer 2";5;2 Memory;Range --;Set Poisonous Skin for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;1;1;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/geomancer-17-8.png
Forced Exchange;Exchange Vitality percentages with target character.;Requires Polymorph 3;1;2 Memory;Range 2m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;1;2;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph_forced_exchange-icon.png
Apotheosis;You take the first step towards godhood. The cost of all Source skills is reduced by -3 Source Point.;Requires Polymorph 5;0;3 Memory;Range --;Set Apotheosis for 2 turn(s).;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;2;3;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph_apothesis-icon.png
Terrain Transmutation;Target two circular areas. Swap surfaces and clouds.;Requires Polymorph 2;2;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;1;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph_terrain_transmutation-icon.png
Equalise;Vitality and Armour percentages of characters in target area are summed up and redistributed equally.;Requires Polymorph 3;5;1 Memory;Range 13m;;;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph-skills-s.png;Polymorph;2;0;https://divinityoriginalsin2.wiki.fextralife.com/file/Divinity-Original-Sin-2/polymorph_equalise-icon.png
